Student Number ,Section,Age,Gender,City Address,Parent's monthly income,Last School Attended(High School),Track,General Weighted Average(GWA) - Grade 11 and 12 OR 4th year high school,General Weighted Average(GWA) - College 1st year 1st Semester,General Weighted Average(GWA) - College 1st year 2nd Semester,"Are you affiliated in any School Organization in the university? (example Computer Society, PASIGYAW, LUNDAYAN, Himig Chorale)",CONTINUE/STOP
21-00357,BSIT-1A,18,Male,Pasig,"below 9,520.00",San Lorenzo Ruiz Senior High School,STEM,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00285,BSIT-1B,18,Female,Pasig,"below 9,520.00",San Lorenzo Ruiz Senior High School,STEM,90 - 95,1.49 - 1.00,1.99  - 1.50,No,
21-01024,BSIT-1C,18,Female,Pasig,"9,520.00 - 19,040.00",Rizal High School,TVL,90 - 95,1.99  - 1.50,2.49 - 2.00,No,
21-00006,BSIT-1B,20,Female,Pasig,"below 9,520.00",Daehan College of Business and Technology ,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,No,
21-00991,BSIT-1C,19,Female,Pasig,"9,520.00 - 19,040.00",Rizal High School,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,No,
21-00268,BSIT-1A,19,Male,Pasig,"9,520.00 - 19,040.00",Pasig City Science High School,STEM,90 - 95,1.49 - 1.00,1.49 - 1.00,No,
21-00095,BSIT-1B,19,Female,Pasig,"19,041.00 - 38,080.00",APEC Schools,STEM,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-01069,BSIT-1D,22 and above,Male,Pasig,"9,520.00 - 19,040.00",La Immaculada Concepcion School (LICS),4th year high school,81 - 84,2.50 - 3.00,1.99  - 1.50,Yes,
21-01100,BSIT-1D,22 and above,Male,Pasig,"9,520.00 - 19,040.00",Sagad High School,4th year high school,75 - 80,2.50 - 3.00,1.49 - 1.00,No,
21-00997,BSIT-1C,21,Male,Pasig,"below 9,520.00",Sagad High School,4th year high school,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-01095,BSIT-1D,22 and above,Female,Pasig,"9,520.00 - 19,040.00",San Joaquin - Kalawaan High School,4th year high school,85 - 89,1.99  - 1.50,2.49 - 2.00,Yes,
21-00951,BSIT-1D,22 and above,Male,Pasig,"19,041.00 - 38,080.00",Rizal High School,4th year high school,85 - 89,1.99  - 1.50,1.99  - 1.50,No,
21-00943,BSIT-1D,22 and above,Female,Pasig,"9,520.00 - 19,040.00",Perpetual Help College of Pangasinan ,STEM,90 - 95,1.99  - 1.50,1.49 - 1.00,No,
21-00681,BSIT-1C,18,Male,Pasig,"below 9,520.00",Arellano University - Andres Bonifacio Campus,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,No,
21-00922,BSIT-1D,22 and above,Male,Pasig,"below 9,520.00",STI,TVL,81 - 84,2.50 - 3.00,1.99  - 1.50,No,
021-00965,BSIT-1D,22 and above,Female,Pasig,"below 9,520.00",Sta. Lucia High School,4th year high school,81 - 84,1.99  - 1.50,1.49 - 1.00,No,
21-00854,BSIT-1C,19,Male,Pasig,"below 9,520.00",St. Augustine College ,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00942,BSIT-1D,22 and above,Male,Pasig,"9,520.00 - 19,040.00",Respcsi,4th year high school,81 - 84,2.50 - 3.00,2.49 - 2.00,Yes,
21-00862,BSIT-1B,19,Male,Pasig,"9,520.00 - 19,040.00",St. Chamuel Colleges,TVL,90 - 95,1.49 - 1.00,1.99  - 1.50,No,
21-01005,BSIT-1D,22 and above,Female,Pasig,"below 9,520.00",Pinagbuhatan High School,4th year high school,75 - 80,1.99  - 1.50,1.49 - 1.00,No,
02-00958,BSIT-1D,22 and above,Male,Pasig,"below 9,520.00",Dipolog School of Fisheries ,4th year high school,85 - 89,2.49 - 2.00,2.50 - 3.00,No,
21-01088,BSIT-1D,22 and above,Male,Pasig,"below 9,520.00",AMA,4th year high school,85 - 89,1.49 - 1.00,1.99  - 1.50,No,
21-00659,BSIT-1C,19,Female,Pasig,"below 9,520.00",Arellano University - Andres Bonifacio Campus,TVL,90 - 95,1.49 - 1.00,2.50 - 3.00,Yes,
21-00661,BSIT-1A,19,Female,Pasig,"9,520.00 - 19,040.00",Arellano University - Andres Bonifacio Campus,TVL,90 - 95,1.49 - 1.00,1.49 - 1.00,No,
21-00960,BSIT-1D,22 and above,Female,Pasig,"below 9,520.00",Sagad High School,4th year high school,85 - 89,1.99  - 1.50,1.99  - 1.50,Yes,
21-00954,BSIT-1D,22 and above,Male,Pasig,"9,520.00 - 19,040.00",Pinagbuhatan High School,4th year high school,85 - 89,1.99  - 1.50,2.49 - 2.00,No,
21-00693,BSIT-1A,19,Female,Pasig,"9,520.00 - 19,040.00",Buting Senior High School,TVL,90 - 95,1.99  - 1.50,1.99  - 1.50,No,
21-00775,BSIT-1B,19,Female,Pasig,"below 9,520.00",Rizal High School,TVL,85 - 89,1.99  - 1.50,1.49 - 1.00,No,
21-00924,BSIT-1D,22 and above,Female,Pasig,"9,520.00 - 19,040.00",Datamex Institute of Technology ,4th year high school,75 - 80,2.50 - 3.00,1.49 - 1.00,No,
21-00925,BSIT-1D,22 and above,Female,Pasig,"below 9,520.00",Sagad High School,4th year high school,75 - 80,1.49 - 1.00,1.99  - 1.50,No,
21-01089,BSIT-1D,22 and above,Male,Pasig,"below 9,520.00",Tolentino Institute,TVL,81 - 84,1.99  - 1.50,2.49 - 2.00,No,
